Class	Architecture	Topology
:Alpha_Beta	:2-Layer_Sandwich	:Nucleotidyltransferase;_domain_5
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_polymerase;_domain_1
:Mainly_Alpha	:Up-down_Bundle	:Monooxygenase
:Mainly_Beta	:Roll	:Pnp_Oxidase;_Chain_A
:Mainly_Alpha	:Orthogonal_Bundle	:Helix_Hairpins
:Mainly_Beta	:Beta_Barrel	:Barwin-like_endoglucanases
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Mainly_Beta	:Beta_Barrel	:Barwin-like_endoglucanases
:Alpha_Beta	:2-Layer_Sandwich	:Dihydrodipicolinate_Reductase;_domain_2
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:2-Layer_Sandwich	:S16_Ribosomal_Protein;_Chain:_A;
:Mainly_Alpha	:Orthogonal_Bundle	:Helicase,_Ruva_Protein;_domain_3
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Mainly_Beta	:3_Solenoid	:UDP_N-Acetylglucosamine_Acyltransferase;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Bacterial_polysaccharide_co-polymerase-like
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Fructose_Permease
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Alpha_Beta	:Alpha-Beta_Complex	:Fumarylacetoacetate_hydrolase;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Trna_Endonuclease;_Chain:_A,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Beta-lactamase
:Alpha_Beta	:2-Layer_Sandwich	:Beta-Lactamase
:Mainly_Alpha	:Orthogonal_Bundle	:Tetracycline_Repressor;_domain_2
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Arginase;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:3_helical_TM_bundles_of_succinate_and_fumarate_reductases
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Double_Stranded_RNA_Binding_Domain
:Mainly_Beta	:Trefoil	:Trefoil_(Acidic_Fibroblast_Growth_Factor,_subunit_A)
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Mainly_Alpha	:Orthogonal_Bundle	:RNA_Polymerase_Primary_Sigma_Factor
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:2-Layer_Sandwich	:Beta-Lactamase
:Mainly_Alpha	:Orthogonal_Bundle	:Non-ribosomal_Peptide_Synthetase_Peptidyl_Carrier_Protein;_Chain_A
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Mainly_Beta	:Beta_Barrel	:Elongation_Factor_Tu_(Ef-tu);_domain_3
:Mainly_Alpha	:Orthogonal_Bundle	:Helicase,_Ruva_Protein;_domain_3
:Mainly_Beta	:Roll	:HIV-inactivating_Protein,_Cyanovirin-n
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Transferase(Phosphotransferase);_domain_1
:Mainly_Alpha	:Up-down_Bundle	:Dbl_Homology_Domain;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:60s_Ribosomal_Protein_L30;_Chain:_A;
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Single_Sheet	:N-terminal_domain_of_TfIIb
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Alpha	:Orthogonal_Bundle	:MutS,_DNA_mismatch_repair_protein;_Chain_A,_domain_3
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:2-Layer_Sandwich	:60s_Ribosomal_Protein_L30;_Chain:_A;
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Kinesin
:Mainly_Alpha	:Orthogonal_Bundle	:Globin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Mainly_Beta	:Trefoil	:Trefoil_(Acidic_Fibroblast_Growth_Factor,_subunit_A)
:Mainly_Alpha	:Orthogonal_Bundle	:Cytochrome_Bc1_Complex;_Chain_D,_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aminopeptidase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Trefoil	:Trefoil_(Acidic_Fibroblast_Growth_Factor,_subunit_A)
:Mainly_Beta	:Ribbon	:CD59
:Alpha_Beta	:2-Layer_Sandwich	:Phosphorylase_Kinase;_domain_1
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Beta-Lactamase
:Alpha_Beta	:4-Layer_Sandwich	:Purple_Acid_Phosphatase;_chain_A,_domain_2
:Alpha_Beta	:Roll	:Mannose-Binding_Protein_A;_Chain_A
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:Alpha-Beta_Complex	:Hypothetical_Protein_Ta0175;_Chain:_A,_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_polymerase;_domain_1
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:2-Layer_Sandwich	:Signal_recognition_particle_alu_RNA_binding_heterodimer,_srp9/1
:Alpha_Beta	:Alpha-Beta_Horseshoe	:Leucine-rich_repeat,_LRR_(right-handed_beta-alpha_superhelix)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:Roll	:Ubiquitin-like_(UB_roll)
:Alpha_Beta	:2-Layer_Sandwich	:TATA-Binding_Protein
:Alpha_Beta	:Alpha-Beta_Complex	:Inosine-uridine_Nucleoside_N-ribohydrolase;_Chain_A
:Mainly_Alpha	:Up-down_Bundle	:Growth_Hormone;_Chain:_A;
:Alpha_Beta	:3-Layer(bba)_Sandwich	:FAD/NAD(P)-binding_domain
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Complex	:Hypothetical_Protein_Ta0175;_Chain:_A,_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Cytochrome_Bc1_Complex;_Chain_D,_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Alpha_Beta	:Alpha-Beta_Complex	:UDP-galactose_4-epimerase;_domain_1
:Alpha_Beta	:Alpha-Beta_Complex	:Quinone_Oxidoreductase;_Chain_A,_domain_1
:Mainly_Alpha	:Up-down_Bundle	:Butyryl-CoA_Dehydrogenase,_subunit_A;_domain_3
:Mainly_Alpha	:Orthogonal_Bundle	:Bovine_Mitochondrial_F1-ATPase,_ATP_Synthase_Beta_Chain;_Chain_D,_domain3
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Mainly_Alpha	:Orthogonal_Bundle	:Histone,_subunit_A
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Dihydrofolate_Reductase,_subunit_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Complex	:Nucleoside_Triphosphate_Pyrophosphohydrolase
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Lipoxygenase-1
:Mainly_Beta	:Single_Sheet	:Anthopleurin-A
:Mainly_Alpha	:Orthogonal_Bundle	:Fic-like_fold
:Alpha_Beta	:2-Layer_Sandwich	:Herpes_Virus-1
:Mainly_Alpha	:Up-down_Bundle	:Malate_Synthase_G;_Chain:_A;_Domain_4
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Citrate_Synthase;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Phosphatidylinositol_Phosphate_Kinase_II_Beta
:Mainly_Beta	:Roll	:PH-domain_like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_polymerase;_domain_1
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Mainly_Alpha	:Orthogonal_Bundle	:Ribonucleotide_Reductase_Protein_R1;_domain_1
:Mainly_Beta	:Roll	:Alpha-1-antitrypsin;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:SIR2/SIRT2_'Small_Domain'
:Alpha_Beta	:Roll	:Secreted_effector_protein_ssei_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Alkaline_Phosphatase,_subunit_A
:Mainly_Alpha	:Orthogonal_Bundle	:N-(1-d-carboxylethyl)-l-norvaline_Dehydrogenase;_domain_2
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Up-down_Bundle	:Transcription_Elongation_Factor_S-II;_Chain_A
:Alpha_Beta	:3-Layer(bba)_Sandwich	:Glucose_Oxidase;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Recoverin;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Barrel	:ADP-ribosylation_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Mainly_Alpha	:Alpha_Horseshoe	:Serine_Threonine_Protein_Phosphatase_5,_Tetratricopeptide_repeat
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Glutaredoxin
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:4-Layer_Sandwich	:Penicillin_V_Acylase;_Chain_A
:Alpha_Beta	:2-Layer_Sandwich	:Nucleotidyltransferase;_domain_5
:Alpha_Beta	:Alpha-Beta_Complex	:DNA_Methylase;_Chain_A,_domain_2
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Oxidized_Rhodanese;_domain_1
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Mainly_Beta	:Roll	:Alpha-1-antitrypsin;_domain_1
:Alpha_Beta	:Alpha-Beta_Complex	:Penicillin-binding_protein_2a_(Domain_2)
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Glutaredoxin
:Mainly_Alpha	:Orthogonal_Bundle	:N-utilizing_Substance_Protein_B_Homolog;_Chain_A
:Alpha_Beta	:Roll	:Ubiquitin-like_(UB_roll)
:Mainly_Beta	:Ribbon	:Complement_Module;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:orange_carotenoid_protein,_domain_2
:Alpha_Beta	:Alpha-Beta_Complex	:Cathepsin_B;_Chain_A
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_polymerase;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Complex	:Ribosomal_Protein_L22;_Chain_A
:Mainly_Beta	:Beta_Barrel	:Elongation_Factor_Tu_(Ef-tu);_domain_3
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-D-Glucose-1,6-Bisphosphate;_Chain_A,_domain_4
:Mainly_Beta	:Single_Sheet	:N-terminal_domain_of_TfIIb
:Mainly_Alpha	:Orthogonal_Bundle	:protoporphyrinogen_ix_oxidase,_domain_3
:Mainly_Beta	:Aligned_Prism	:Vitelline_Membrane_Outer_Layer_Protein_I,_subunit_A
:Alpha_Beta	:2-Layer_Sandwich	:Translation_Initiation_Factor_IF3
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Mainly_Beta	:Single_Sheet	:putative_5-dehydro-2-_deoxygluconokinase_like_fold
:Alpha_Beta	:3-Layer(bba)_Sandwich	:FAD/NAD(P)-binding_domain
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Mainly_Beta	:Beta_Barrel	:Lipocalin
:Alpha_Beta	:Alpha-Beta_Barrel	:ADP-ribosylation_fold
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Mainly_Beta	:Beta_Barrel	:Porin
:Alpha_Beta	:2-Layer_Sandwich	:Uridine_Diphospho-n-acetylenolpyruvylglucosamine_Reductase;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Beta	:Ribbon	:Laminin
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Pyrimidine_Nucleoside_Phosphorylase;_Chain_A,_domain_2
:Alpha_Beta	:Roll	:ph1033_like_fold
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Alpha_Beta	:Roll	:Nuclear_Transport_Factor_2;_Chain:_A,
:Alpha_Beta	:3-Layer(aba)_Sandwich	:abc_type-2_transporter_like_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Guanine_Nucleotide_Dissociation_Inhibitor;_domain_1
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-D-Glucose-1,6-Bisphosphate;_Chain_A,_domain_4
:Alpha_Beta	:Alpha-Beta_Complex	:Quinone_Oxidoreductase;_Chain_A,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Dna_Ligase;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Phosphorylase_Kinase;_domain_1
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:Roll	:Chitinase_A;_domain_3
:Alpha_Beta	:Roll	:Nuclear_Transport_Factor_2;_Chain:_A,
:Alpha_Beta	:Alpha-Beta_Complex	:Cytochrome_C3
:Alpha_Beta	:Alpha-Beta_Complex	:Quinone_Oxidoreductase;_Chain_A,_domain_1
:Mainly_Beta	:Beta_Barrel	:Thrombin,_subunit_H
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:Substrate_Binding_Domain_Of_Dnak;_Chain:A;_Domain_2
:Few_Secondary_Structures	:Irregular	:Rhinovirus_14,_subunit_4
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Chorismate_lyase
:Alpha_Beta	:2-Layer_Sandwich	:Beta-Lactamase
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Alpha	:Orthogonal_Bundle	:Transcription_Factor_Skn-1;_Chain_P
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Butyryl-Coa_Dehydrogenase,_subunit_A;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:60s_Ribosomal_Protein_L30;_Chain:_A;
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Beta_Barrel	:Lipocalin
:Mainly_Alpha	:Up-down_Bundle	:ABC_transporter_transmembrane_region_fold
:Alpha_Beta	:Roll	:Nuclear_Transport_Factor_2;_Chain:_A,
:Alpha_Beta	:2-Layer_Sandwich	:Ribosomal_Protein_S5;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:Roll	:2,3-Dihydroxybiphenyl_1,2-Dioxygenase;_domain_1
:Mainly_Beta	:Ribbon	:Complement_Module;_domain_1
:Alpha_Beta	:Roll	:Chitinase_A;_domain_3
:Few_Secondary_Structures	:Irregular	:H-NS_DNA_Binding_Protein
:Mainly_Beta	:Ribbon	:Laminin
:Mainly_Beta	:Beta_Barrel	:Cathepsin_D,_subunit_A;_domain_1
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Alpha	:Orthogonal_Bundle	:Tetracycline_Repressor;_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Dna_Ligase;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:4-Layer_Sandwich	:Metallo-beta-lactamase;_Chain_A
:Mainly_Alpha	:Orthogonal_Bundle	:Cyclin_A;_domain_1
:Alpha_Beta	:Roll	:Thiol_Ester_Dehydrase;_Chain_A
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Roll	:PH-domain_like
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:2-Layer_Sandwich	:Erythroid_Transcription_Factor_GATA-1;_Chain_A
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:3-Layer(aba)_Sandwich	:NADH_Oxidase
:Alpha_Beta	:2-Layer_Sandwich	:Double_Stranded_RNA_Binding_Domain
:Mainly_Alpha	:Orthogonal_Bundle	:Peroxidase;_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:60s_Ribosomal_Protein_L30;_Chain:_A;
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Alpha_Beta	:Alpha-Beta_Barrel	:Multidrug-efflux_Transporter_1_Regulator_Bmrr;_Chain_A
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Alpha	:Alpha_Horseshoe	:Serine_Threonine_Protein_Phosphatase_5,_Tetratricopeptide_repeat
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Mainly_Beta	:7_Propeller	:Methylamine_Dehydrogenase;_Chain_H
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Complex	:Palm_domain_of_DNA_polymerase
:Mainly_Alpha	:Orthogonal_Bundle	:Cytochrome_Bc1_Complex;_Chain_D,_domain_2
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Alpha/beta_knot
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Beta_Barrel	:Thrombin,_subunit_H
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_polymerase;_domain_1
:Alpha_Beta	:Alpha-Beta_Complex	:Outer_Surface_Protein_A;_domain_3
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Creatine_Amidinohydrolase;_Chain_A,_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Enolase-like;_domain_1
:Alpha_Beta	:3-Layer(bab)_Sandwich	:Phage_tail_protein_beta-alpha-beta_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:2-Layer_Sandwich	:Nucleotidyltransferase;_domain_5
:Mainly_Beta	:Beta_Barrel	:Lipocalin
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:2-Layer_Sandwich	:GMP_Synthetase;_Chain_A,_domain_3
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Alpha_Horseshoe	:Serine_Threonine_Protein_Phosphatase_5,_Tetratricopeptide_repeat
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:4-Layer_Sandwich	:CNF1/YfiH-like_putative_cysteine_hydrolases
:Mainly_Alpha	:Orthogonal_Bundle	:Ribonucleotide_Reductase,_subunit_A
:Mainly_Alpha	:Up-down_Bundle	:phosphoenolpyruvate_carboxylase,_domain_3
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:2-Layer_Sandwich	:Wheat_Germ_Agglutinin_(Isolectin_2);_domain_1
:Alpha_Beta	:Alpha-Beta_Barrel	:nicotinate_phosphoribosyltransferase
:Few_Secondary_Structures	:Irregular	:HU_Protein;_Chain_A
:Mainly_Beta	:3_Solenoid	:UDP_N-Acetylglucosamine_Acyltransferase;_domain_1
:Mainly_Alpha	:Up-down_Bundle	:AhpD-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:name_from_scop
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_polymerase;_domain_1
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Mainly_Alpha	:Up-down_Bundle	:V-type_ATP_synthase_subunit_C_fold
:Alpha_Beta	:Alpha-Beta_Complex	:UDP-galactose_4-epimerase;_domain_1
:Mainly_Beta	:Beta_Barrel	:Elongation_Factor_Tu_(Ef-tu);_domain_3
:Alpha_Beta	:2-Layer_Sandwich	:Penicillin-binding_protein_1b_fold
:Alpha_Beta	:Roll	:2,3-Dihydroxybiphenyl_1,2-Dioxygenase;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Beta-Lactamase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aminopeptidase
:Mainly_Alpha	:Orthogonal_Bundle	:Non-ribosomal_Peptide_Synthetase_Peptidyl_Carrier_Protein;_Chain_A
:Alpha_Beta	:4-Layer_Sandwich	:L-amino_peptidase_D-ALA_esterase/amidase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Mainly_Beta	:Trefoil	:Trefoil_(Acidic_Fibroblast_Growth_Factor,_subunit_A)
:Mainly_Alpha	:Up-down_Bundle	:Paired_amphipathic_helix_2_(pah2_repeat)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Severin
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Viral_Chemokine_Inhibitor;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:L-fuculose-1-phosphate_Aldolase
:Mainly_Alpha	:Orthogonal_Bundle	:Arf_Nucleotide-binding_Site_Opener;_domain_2
:Few_Secondary_Structures	:Irregular	:Light-harvesting_Protein
